﻿등급,회원사,홈페이지,지역,사업장도로명주소,주요업종(국민연금 신고),고용현황(국민연금 가입자),매출액(억원),매출연도,주요제품,부설연구소,출처,비고
정회원,한국도요쯔건기(주),http://개설중,경기 성남시,경기도 성남시 분당구 대왕판교로,상품 종합 도매업,11,,,일본 타케우치(TAKEUCHI) 미니굴삭기·컴팩트 건설장비 수입·판매 (상품 종합 도매업) — Toyota Tsusho 출자 한국법인,무,국민연금('26.5) ｜ [조사] 홈페이지 tcek.co.kr(개설중→운영 중) / saramin·nicebizinfo 기업정보. 신설 무역법인(국민연금 11명)으로 공개 매출 수치 없음. 수입·판매 도매업으로 부설연구소 없음,"성남 분당, 매출 미공개(소규모 신설 무역법인)"
정회원,이원컴포텍(주),http://www.ewonseat.com,전북 정읍시,전북특별자치도 정읍시 첨단1로,그 외 자동차용 신품 부품 제조업,101,525,2024,"상용차·건설중장비용 에어/스프링 서스펜션 시트, 운전석 내장재 — 현대차 트럭 전차종 시트 독점공급 (코스닥 088290)",유,국민연금('26.5) ｜ [조사] WebSearch(2024 매출 약 524.9억) / fnguide·wikipedia. 코스닥 상장사. 자동차부품 전문 제조 — 기술연구소 보유,"전북 정읍, 코스닥 상장사로 DART 공시 확인 가능. 2024 연결 약 525억"
정회원,(주)지비,http://www.gbhammer.com,경북 경산시,경상북도 경산시 와촌면 갓바위로,알루미늄 주물 주조업,12,,,알루미늄 주물 주조(다이캐스팅/금속주물),불명,"국민연금('26.5) ｜ [조사] 국민연금 업종=알루미늄 주물 주조업, 12명. 홈페이지 gbhammer.com 인증서 오류로 접속 불가. 동명 2법인 주의: 검색되는 '지비' 매출(시흥 유압브레이커 125억, 서울 SW H37226)은 경산 알루미늄 주물 주조 본 법인과 다른 별개 법인으로 판단되어 매출 미적용.","확인요(동명 2법인,상호 짧음) ｜ 동명 2법인. 경북 경산 알루미늄 주물 주조업체로, 공개 매출 미확인. gbhammer.com이 굴착기 유압브레이커 브랜드와 혼재되나 CSV 업종(알루미늄 주물)과 시흥 소재 유압브레이커사(125억)는 지역·업종 불일치 → 매출 비적용(저신뢰)."
정회원,(주)원강,http://www.roadbit.com,경기 화성시,경기도 화성시 만세구 팔탄면 서해로1313번길,금속 문  창  셔터 및 관련제품 제조업,8,26,2024,"기초굴착 부품(지하연속벽 BC커터 투스/픽커터, BC CUTTER·GEAR BOX·MUD PUMP) 및 금속 문·셔터 제조",무,"국민연금('26.5) ｜ [조사] 사람인 기업정보(화성 팔탄면, 업종 금속 문·창·셔터 제조업, csn ejVK… )=매출 26억5,850만원, 직원 8명, CSV 지역·업종 일치. 제품은 roadbit.com 및 핀테크경제신문(fintechtimes.co.kr no=55279) 기사. 홈페이지 roadbit.com에 연구소/R&D센터 표기 없음.","확인요(동명 2법인,상호 짧음) ｜ 사람인상 업종은 금속 문·셔터지만 roadbit.com 브랜드로 굴착장비 부품 수출(18개국, 2024 300만불탑). 매출 26억은 화성 팔탄면 법인 기준."
정회원,한국소재(주),http://www.kob21.com,인천 남동구,인천광역시 남동구 남동동로345번길,그 외 자동차용 신품 부품 제조업,28,,,오일레스베어링·웜기어·동합금주조·캐스트부품(자동차·산업기계·중장비용),무,"국민연금('26.5) ｜ [조사] 홈페이지 kob21.com(회사개요)=오일레스베어링·웜기어·동합금주조, 인천 남동구, 28명. 홈페이지에 연구소/기업부설연구소 명시 없음('지속적 연구개발' 표현만). 동명 주의: 검색된 '한국소재' 매출 48억(전남 곡성, 특수시멘트, jobkorea sojae1270)은 별개 법인이라 미적용.",동명 법인 다수. 인천 남동구 자동차부품(오일레스베어링) 법인의 공개 매출 미확인.
정회원,(주)디씨엠건기,http://www.dcm24.kr,경북 상주시,경상북도 상주시 경상대로,BIZ_NO미존재사업장,19,127,2024,건설기계(히타치건기 한국 공식딜러) 판매·임대·수출입(굴착기·휠로더·소형건설장비),불명,"국민연금('26.5) ｜ [조사] 사람인 기업정보(경북 상주, csn R0JR…)=매출 127억6,281만원(2025 표기, 2024 결산 기준), 직원 18명, CSV 지역 일치. 히타치건설기계 한국 공식수입원. 홈페이지 dcm24.kr 연구소 표기 미확인.",제조보다 건설기계 도소매·임대 중심(딜러).
정회원,(주)신세계파워큅,http://www.powerquip.co.kr,경기 시흥시,경기도 시흥시 공단1대로195번길,BIZ_NO미존재사업장,3,,,기초건설기계 - 유압 파일해머·바이브로해머(BRUCE) 제조·수출,무,"국민연금('26.5) ｜ [조사] 홈페이지 powerquip.co.kr(회사소개)=BRUCE 유압파일해머·바이브로해머, 시흥 정왕동, 3명. 홈페이지에 연구소/R&D센터 표기 없음. 신세계중기계와 동일 브랜드 운영. 별도 공개 매출 미확인(안산 신세계중공업 11억은 별개 법인).","직원 3명 수출/판매 법인(BIZ_NO미존재). 신세계중기계 그룹과 BRUCE 브랜드 공유, 단독 매출 비공개."
정회원,아트라스콥코코리아(주),http://www.atlascopco.co.kr,경기 성남시,경기도 성남시 분당구 판교역로192번길,그 외 기타 기계 및 장비 도매업,403,3500,2024,산업용 압축기·진공장비·공압공구·착암기 등 광산·건설·산업장비 도매(Atlas Copco 한국법인),불명,"국민연금('26.5) ｜ [조사] WebSearch(catch.co.kr/391166, 잡코리아·사람인)=2024년 매출 약 3,500억원(직원 약 350~403명). 글로벌 Atlas Copco 한국 판매법인. 홈페이지 atlascopco.co.kr 접속 불가(도메인 미해석)로 연구소 표기 확인 불가.","다국적 기업 한국 판매법인. 매출 규모는 출처별 3,500억(2024)~3,864억(2025) 보고."
정회원,(주)디에이치티,http://www.idht.co.kr,경북 경주시,경상북도 경주시 외동읍 문산공단길,그 외 자동차용 신품 부품 제조업,17,,,자동차용 신품 부품 제조 (경주 외동 문산공단),불명,"국민연금('26.5) ｜ [조사] 국민연금 가입 17명(소기업). 홈페이지 http://www.idht.co.kr 는 (주)대한초경산업사(경기 안성, 콘크리트펌프카부품·초경합금)로 연결되어 CSV의 경주 외동 디에이치티와 불일치. 인크루트상 디에이치티(주)도 경기 안성 13명으로 검색됨(동명 2법인). 경주 외동 자동차부품 디에이치티의 공개 매출 미확인 → 비상장 소기업, 매출 미공개",확인요(동명 2법인) ｜ 동명 2법인. 홈페이지(idht.co.kr=대한초경산업사/안성)가 CSV의 경주 법인과 불일치. 매출 확인 불가 (저신뢰)
정회원,대전기계공업(주),http://www.daijeonsa.co.kr,경기 평택시,경기도 평택시 수월암4길,전동기 및 발전기 제조업,17,356,2023,건설·산업·레저기기 수입판매 (히타치·덴요·가와사키·사카이 발전기·도로건설기기·엔진·진동모터),무,"국민연금('26.5) ｜ [조사] 매출: 웹검색(사람인/잡코리아/쿠키딜) 2021년 330억, 2023년 약 356억. 제품: 홈페이지 http://www.daijeonsa.co.kr (건설기기 사카이, 산업기기 덴요발전기·가와사키엔진, 레저). 연구소: 홈페이지에 부설연구소/R&D센터 명시 없음","1974년 설립, 일본 건설·산업기기 국내 독점공급 중견기업"
정회원,캐터필라아시아리미티드한국지점,http://www.cat.com,,,,,,,건설중장비(굴착기·휠로더 등) 글로벌 브랜드 한국지점,불명,[조사] 외국계(미국 Caterpillar)의 아시아리미티드 한국지점. 국민연금 미매칭(CSV 비고). 외국법인 한국지점으로 별도 국내 매출 공시 없음 → 매출 미공개,"국민연금 미매칭 ｜ 외국법인 지점, 별도 매출 비공개"
정회원,(주)엘지에너지솔루션,http://www.lgensol.com,서울 영등포구,서울특별시 영등포구 여의대로,축전지 제조업,12904,256196,2024,이차전지(전기차·ESS·소형 배터리) 제조,유,"국민연금('26.5) ｜ [조사] 매출: 2024년 연결 25조6196억원 (LG에너지솔루션 2024 연간 실적발표, inside.lgensol.com / lg.co.kr 보도자료). 연구소: 다수 R&D센터·연구개발조직 운영(상장사 KOSPI 373220)","KOSPI 상장사(373220), 국민연금 12,904명"
정회원,(주)서진정공,http://www.seojin21.co.kr,대구 달서구,대구광역시 달서구 성서로,그 외 자동차용 신품 부품 제조업,51,,,유압밸브·모듈러밸브·SF6 가스밸브·베이스플레이트 등 밸브/정밀가공 부품 (대구 달서구),불명,"국민연금('26.5) ｜ [조사] 제품: 홈페이지 http://www.seojin21.co.kr (SF6 Gas Valve, Base Plate, Hydraulic Valve, Modular Valve) 및 웹검색. 매출: 동명 4법인(대구 달서구·경남 창원·경기 화성·부산)으로 분산되어 대구 달서구 법인 매출 특정 불가. 참고로 유사업종 (주)서진정공(창원, 밸브/중장비부품, 49명)은 캐치/사람인상 약 171억(2026 기준)이나 지역 불일치",확인요(동명 4법인) ｜ 동명 4법인. CSV 대구 달서구 법인(seojin21.co.kr)의 매출 특정 불가 (저신뢰)
정회원,㈜디텍,http://d-teg.com,광주 북구,광주광역시 북구 첨단벤처로16번길,기타 비철금속 제련  정련 및 합금 제조업,19,,,기타 비철금속 제련·정련 및 합금 제조 (광주 북구 첨단),불명,"국민연금('26.5) ｜ [조사] CSV 업종=비철금속 합금 제조, 광주 북구 첨단, 19명. 홈페이지 d-teg.com 및 캐치(catch.co.kr/Comp/CompInfo/454763, 2024 매출 509억)는 차량용 CCTV·텔레매틱스 (주)디텍으로 비철금속 제조 법인과 불일치. 동명 3법인·상호 짧아 광주 비철금속 디텍 매출 특정 불가 → 매출 미확인","확인요(동명 3법인,상호 짧음) ｜ 동명 3법인. 홈페이지/캐치가 차량용 CCTV 디텍이라 CSV 비철금속 법인과 불일치. 매출 확인 불가 (저신뢰)"
정회원,코멕스전자,http://www.komexelc.com,인천 남동구,인천광역시 남동구 호구포로120번길,기타 반도체 소자 제조업,9,33,2026,굴삭기 컨트롤러·전자제어식 모니터판넬·자이로센서·백업알람 등 건설중장비 전자제어 부품,불명,"국민연금('26.5) ｜ [조사] saramin 빅데이터 매출 추정(약 32.9억, 2026 조회기준); 홈페이지 komexelc.com 제품설명. 홈페이지에 연구소 표기 확인 안됨",협회 업종은 반도체 소자로 표기되나 실제는 건설중장비 전자제어부품 제조(두산인프라코어·현대중공업 등 납품). 직원 9명
정회원,(주)엘렉트,http://www.ellect.co.kr,부산 해운대구,부산광역시 해운대구 센텀동로,그 외 기타 기계 및 장비 도매업,14,,,건설기계 전동화 모듈 플랫폼·원격제어·로보틱스 솔루션,불명,국민연금('26.5) ｜ [조사] 홈페이지 ellect.co.kr(전동화·로보틱스); 머니투데이('26.6.2) 시리즈A 37억 유치. 2023년 볼보건설기계 연구소 출신 설립 딥테크 스타트업으로 공개 매출 없음,확인요(상호 짧음) ｜ 초기 스타트업이라 매출 미공개(투자유치 단계). 홈페이지에 부설연구소 표기는 없음
정회원,한국물류시스템(주),http://www.km21.com,충남 아산시,충청남도 아산시 영인면 신봉길,산업용 트럭 및 적재기 제조업,13,67,2026,"지게차·리프트 등 물류장비 판매/렌탈/수리, 자동화기계·환경기기",불명,"국민연금('26.5) ｜ [조사] saramin 빅데이터 매출 추정(약 67.2억, 2026 조회기준); 홈페이지 km21.com/kms21.com. 연구소 표기 미확인",직원 12명. 산업용 트럭·적재기(지게차) 분야
정회원,코리아머신(주),http://www.komac.co.kr,서울 영등포구,서울특별시 영등포구 국회대로76길,건설ㆍ광업용 기계 및 장비 도매업,4,44,2024,유압브레이커·어태치먼트·굴착기·휠로더·발전기·콘크리트펌프카 등 건설중장비 수입판매(어태치먼트 강점),불명,국민연금('26.5) ｜ [조사] incruit(NICE평가정보 출처) 2024 매출 43.7억(2023 42.6억/2022 39.7억); 홈페이지 komac.co.kr 제품. 조직도상 연구소 확인 불가,건설·광업용 기계 도매업. 직원 약 13명
정회원,㈜에이치씨엠코리아,http://www.xcmgkorea.com,서울 종로구,서울특별시 종로구 자하문로,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,7,,,XCMG 건설기계(지게차·굴착장비·고소작업대) 수입판매 한국 총판,불명,"국민연금('26.5) ｜ [조사] 홈페이지 xcmgkorea.com(지게차·굴착·고소작업대 수입판매). 공개 매출자료 미확인, 홈페이지에 연구소 표기 없음",중국 XCMG 국내 판매법인(수입판매업). 동명 '에이치씨엠(주)' 시설관리업과 별개. 직원 7명
정회원,창신인터내셔날(주),http://www.okcsi.com,울산 울주군,울산광역시 울주군 청량읍 처용산업4길,건설 및 채광용 기계장비 제조업,4,21,2024,DTH(다운더홀) 천공장비·해머·비트 등 채광·건설용 천공장비 제조 및 수출,불명,국민연금('26.5) ｜ [조사] WebSearch 기업정보 매출 약 20.7억; 홈페이지 okcsi.com(DTH 장비 제조·종합솔루션). 홈페이지에 연구소 표기 미확인,울산 울주 소재 DTH 천공장비 전문 제조·수출. 직원 약 4명
정회원,에이치에스베어링 주식회사,http://www.hsbrg.com,인천 계양구,인천광역시 계양구 서운산단로2길,그 외 자동차용 신품 부품 제조업,13,36,2022,지게차 마스트용·굴착기용·구면 미끄럼 등 산업용 특수 베어링,불명,"국민연금('26.5) ｜ [조사] 매출액 36억(2022)·사원 약20명 - saramin(에이치에스베어링 기업정보). 주요제품 hsbrg.com. 홈페이지 self-signed cert로 직접확인 불가, 연구소 표기 미확인","인천 계양 소재. www.hsbrg.com SSL 오류, hsbrg.com 일부 페이지 존재"
정회원,(주)대진에이치에스,http://www.djhs.co.kr,경남 양산시,경상남도 양산시 상북면 석계산단4길,유압 기기 제조업,15,,,유압기기(유압실린더 등) 제조,불명,"국민연금('26.5) ｜ [조사] 비상장 소기업(양산, 국민연금 15명), 공개 매출 미확인. 동명 유사사 '대진유압기계'(부산/사상, 100억)와 별개 법인이라 혼동 주의. djhs.co.kr self-signed cert로 직접확인 불가","대진유압기계(부산)와 혼동 금지 — 양산 소재 별도 법인, 매출 저신뢰"
정회원,두산밥캣코리아(주),http://www.bobcat.com/kr,인천 동구,인천광역시 동구 인중로,산업용 로봇 제조업,680,14911,2024,소형 건설장비(스키드스티어로더·콤팩트트랙로더 등)·산업용 로봇,불명,"국민연금('26.5) ｜ [조사] 매출액 1조4,911억(2024) - saramin 두산밥캣코리아(주) 재무정보. 인천 동구(만석동) 생산법인",상장 두산밥캣(241560)의 국내 생산자회사
정회원,HD현대사이트솔루션(주),http://www.hyundai-genuine.com,,,,,37381,2024,건설기계·산업차량(지게차·스키드로더) 사업 총괄 중간지주,불명,"[조사] 매출 약3조7,381억(2024 연결, 전년比 -10.12%) - 뉴스(대한건설경제 등). HD건설기계·산업차량 합산 기준이라 지주 단독 매출과 차이 가능, 저신뢰",국민연금 미매칭 ｜ 국민연금 미매칭(지역·주소 공란). 2024 매출치는 자회사 합산 기준이라 검증 필요
정회원,(주)틸트프로,http://www.tiltpro.co.kr,경기 화성시,경기도 화성시 동탄구 동탄산단6길,건설 및 채광용 기계장비 제조업,45,166,2023,굴착기용 어태치먼트(틸트로테이터·퀵커플러 등),불명,"국민연금('26.5) ｜ [조사] 매출 약166억(2023, 전년 83억의 2배+) - 포브스코리아/시장경제 등 뉴스. 화성 본사+음성 생산, 2023 산자부장관상 수상",2023 수치는 언론 '전년比 2배+' 서술 기반 추정치
정회원,(주)모텍,https://motek-incorporated.wixsite.com/home,경남 양산시,경상남도 양산시 소주공단2길,그 외 자동차용 신품 부품 제조업,16,196,2023,"자동차부품(딥드로잉 프레스·금형, 연료공급·변속·브레이크 부품)",유,"국민연금('26.5) ｜ [조사] 매출 196.45억(2023) - saramin 모텍(주) 기업정보(양산, 25명). 기업부설연구소 2003년 인정 - 잡코리아/saramin 연혁","확인요(상호 짧음) ｜ CSV 비고 '상호 짧음' 확인 — 양산 소재 모텍(주) 맞음. 홈페이지 wix, 다른 '모텍코리아/모텍스'와 구분"
정회원,(주)두두인터내셔널,http://www.dodoint.co.kr,서울 송파구,서울특별시 송파구 올림픽로,건설ㆍ광업용 기계 및 장비 도매업,13,370,2024,타워크레인·고소작업차·지게차 등 건설중장비 매매·무역·시공컨설팅(ZOOMLION 등 수입공급),불명,"국민연금('26.5) ｜ [조사] 잡코리아(매출액 370억, 19명), 사람인, 동아일보 2025.06 기사. 홈페이지(dodoint.co.kr) 인증서 오류로 직접 확인 불가·연구소 메뉴 미확인",건설장비 도매·무역업체(제조 아님)
정회원,(주)지에스코,http://www.gskor.kr,경기 고양시,경기도 고양시 일산동구 진밭로,일반용 도료 및 관련제품 제조업,6,,,"일반용 도료 및 관련제품 제조(건축재료), 특허보유기업",불명,"국민연금('26.5) ｜ [조사] nicebizinfo(kiscode I20062, 일반용 도료 제조·특허보유기업), moneypin, 사람인. 직원 8~9명 소기업으로 공개 매출 없음. 홈페이지(gskor.kr) 인증서 오류로 확인 불가","직원 8~9명 영세 제조사, 공개 매출 미확인"
일반회원사,에스엘티이,http://shillatech.com/,울산 울주군,울산광역시 울주군 언양읍 반천산업로,그 외 자동차용 신품 부품 제조업,37,77,2025,포크레인·지게차·불도저 등 건설중장비/조선 부품 레이저절단·절곡·제관·도장(현대중공업 1차 협력사),불명,"국민연금('26.5) ｜ [조사] 잡코리아(매출 77억6천만원·44명·2025.12.31), 인크루트(77억6,327만원 2025). 홈페이지(shillatech.com) 인증서 만료로 연구소 메뉴 확인 불가",
정회원,㈜정우산업,http://jung-woo.co.kr,울산 동구,울산광역시 동구 방어진순환도로,금속 문  창  셔터 및 관련제품 제조업,70,,,금속 문·창·셔터 및 관련제품 제조(방화/전동셔터 등),불명,"국민연금('26.5) ｜ [조사] nicebizinfo(kiscode JP5862: 울산 동구 방어진순환도로, 금속 문·창·셔터 제조업 C25111, 설립 2019.05.29) 매출 유료보고서로 비공개. 홈페이지(jung-woo.co.kr) DNS 미해결",확인요(동명 10법인) ｜ 동명 다수법인 중 울산 동구 셔터 제조사로 지역·업종 매칭. 굴착기부품 정우산업(jwfc·전북 소재)과는 별개. 공개 매출 없음
정회원,강토중공업,http://www.kangto.com,경기 화성시,경기도 화성시 만세구 남양읍 남양로,건설 및 채광용 기계장비 제조업,6,39,2022,굴삭기용 유압 퀵커플러(국내 최초 독자개발)·각종 굴삭기 어태치먼트 제조(OEM/ODM),불명,"국민연금('26.5) ｜ [조사] 잡코리아·인크루트(매출 39.2억 2022.12, 14명), komachine 기업소개. 홈페이지(kangto.com) 인증서 불일치로 연구소 표기 직접 확인 불가",어태치먼트 제조 기업부설연구소 연구원 채용공고 정황 있으나 홈페이지 명시 미확인으로 불명 처리
정회원,명성공업,http://www.msi.co.kr,경북 경주시,경상북도 경주시 외동읍 문산공단길,그 외 자동차용 신품 부품 제조업,108,347,2025,"자동차 차체부품 및 건설중장비 부품 제조(TM·DA·SA 등), 중국 단독법인 보유",불명,"국민연금('26.5) ｜ [조사] 캐치(매출 347억·106명·2025.12), 사람인(347억1,310만원), 잡코리아·잡플래닛. 홈페이지(msi.co.kr) DNS 미해결로 연구소 메뉴 확인 불가",확인요(동명 2법인) ｜ 동명 2법인 중 경주 외동 문산공단 자동차·중장비부품 제조사로 매칭(고용 108명과 일치)
정회원,우영유압,http://www.wy.co.kr,인천 남동구,인천광역시 남동구 능허대로577번길,유압 기기 제조업,78,328,2024,유압실린더(지게차·굴삭기·스키드로더용 붐/암/버킷/틸트 실린더),유,"국민연금('26.5) ｜ [조사] 홈페이지(wy.co.kr) R&D center 언급, 매출 사람인 2024년 328억(2023년 421억)","인천 남동구 유압기기 제조, 종업원 약 110명으로 동명 확인됨"
정회원,정도산업,http://jeongdo.co.kr,경기 파주시,경기도 파주시 파주읍 돈유1로,금속 문  창  셔터 및 관련제품 제조업,35,361,2024,"도로안전시설물(가드레일·방호울타리), 금속창호·셔터, 태양광 구조물",불명,"국민연금('26.5) ｜ [조사] 사람인/잡코리아 2024년 매출 361억, 홈페이지 jdind.co.kr(연구소 명시 미확인)",확인요(동명 8법인) ｜ 동명 8법인 중 경기 파주 정도산업(주) 매칭(jdind.co.kr)
정회원,진웅엠피아,http://www.jinwoongmpia.com,세종 연동면,세종특별자치시  연동면 원합강1길,분말 야금제품 제조업,28,,,분말야금 소결부품(건설·기계장비용 소결 금속부품),불명,"국민연금('26.5) ｜ [조사] NICEbizinfo/캐치 kiscode 194922, 홈페이지 접속불가(ECONNREFUSED). 비외감 중소기업으로 공개 매출 없음","세종 연동면, 2001년 설립, 종업원 약 31명. 계열사 (주)진웅과 별개"
정회원,필엔지니어링,http://www.feeleng.com/,경기 부천시,경기도 부천시 오정구 석천로,주형 및 금형 제조업,29,,,"유압브레이커(X·TOP 시리즈), 락드릴(EX-DRILL), 터널링 장비",불명,"국민연금('26.5) ｜ [조사] 홈페이지 feeleng.com(제품 확인, 연구소 명시 없음). 비공개 매출(공개 재무 없음)",확인요(동명 2법인) ｜ 동명 2법인 중 경기 부천 Feel Engineering 매칭. CSV업종(주형/금형)과 달리 건설기계 어태치먼트 제조
정회원,코막중공업,http://www.komac.co.kr,,,,,63,2023,"유압브레이커, 퀵커플러, 미니굴착기, 휠로더, 건설기계 어태치먼트",불명,"[조사] 캐치/사람인 매출 62.8억(2023), 홈페이지 komac.co.kr(연구소 명시 미확인)",국민연금 미매칭 ｜ 경기 화성 소재. 국민연금 미매칭 행이나 KOMAC(코리아머신) 동일법인 확인
정회원,건우기계,http://www.kunwoo-mc.co.kr,대구 달성군,대구광역시 달성군 구지면 국가산단서로71길,분말 야금제품 제조업,4,,,분말야금 소결부품(자동차·건설기계용 소결 금속부품),불명,"국민연금('26.5) ｜ [조사] 홈페이지 kunwoo-mc.co.kr(SSL 인증서 불일치로 접속불가), 공개 매출 자료 없음","대구 달성군 구지면 4인 소기업, 비외감으로 매출 비공개. 동명 다수(건우산업/건우 등)와 구분"
정회원,광영산업,,경기 화성시,경기도 화성시 효행구 봉담읍 시냇말길,금속 절삭기계 제조업,21,,,금속 절삭가공(절삭기계 부품 가공),불명,"국민연금('26.5) ｜ [조사] 국민연금 업종(금속 절삭기계 제조업), 화성시 소재. 홈페이지 미기재, 비상장 소기업(고용 21명)으로 공개 매출 자료 없음. 잡코리아/사람인/catch 검색 무매칭","동명 다수(광원산업/광명산업 등)로 매출 식별 불가, 저신뢰"
정회원,국제유압성형,http://www.kukjehnm.com,,,,,,,유압성형(하이드로포밍)/유압기기 부품 추정,불명,"[조사] 홈페이지 kukjehnm.com=KJ-LION E&C(현재 DNS 응답불가). 국민연금 미매칭, 비상장 소기업으로 공개 매출 없음","국민연금 미매칭 ｜ 홈페이지 접속불가, 제품군 추정"
정회원,길라씨엔아이,http://www.bandi22.com,,,,,,,사무·회화용품 제조(catch 분류 기준); 건설기계 분야 연관성 불명,불명,"[조사] 홈페이지 bandi22.com(접속불가). catch.co.kr/잡코리아·사람인 길라씨엔아이(주) 검색=사무 및 회화용품 제조업 분류, 공개 매출액 미표기","국민연금 미매칭 ｜ 주요업종이 건설기계와 불일치, 동명 가능성·저신뢰"
정회원,남양테크,http://-,인천 중구,인천광역시 중구 서해대로180번길,분말 야금제품 제조업,15,100,2022,건설기계·산업기계용 주조/압연/제관·도장 부품(굴삭기 등 중장비 핵심 부품),불명,국민연금('26.5) ｜ [조사] 홈페이지 nyt1691.mycafe24.com(소재사업부 주강·주철·압연/제관사업부) — 연구소 표기 없음. 매출 100억 돌파(2022): RnDcircle/인천 비즈오케이·잡코리아 기업정보,확인요(동명 3법인) ｜ 인천 중구·건설기계 부품으로 CSV와 정확히 매칭
정회원,뉴텍알에스아이,http://www.ntrsi.com,,,,,,,주물·주강·주철 주조품(casting) 제조,불명,"[조사] 홈페이지 ntrsi.com(접속불가). ec21(ntrsi.en.ec21.com)=Newtec RSI, casting/cast iron/cast steel 공급사. 국민연금 미매칭, 공개 매출 없음","국민연금 미매칭 ｜ 홈페이지 접속불가, EC21 기준 제품 확인"
정회원,다산중공업,http://www.dasancrane.co.kr,경기 안성시,경기도 안성시 미양면 신두만곡로,화물 자동차 및 특수 목적용 자동차 제조업,14,131,2021,고소작업차·크레인 등 특장차(모바일 유압장비) 제조,불명,국민연금('26.5) ｜ [조사] 홈페이지 dasancrane.co.kr(고소작업차/크레인 라인업). 매출 131.5억(2021): 사람인 기업정보. 상용차신문 기사상 연구개발 인력 비중 높으나 부설연구소 명시 표기는 확인 안 됨,"경기 안성·특장차로 CSV 매칭, 매출은 2021년 기준(최신치 미확인)"
정회원,대건씨앤에스,http://www.airhammer.co.kr,,,,,,,"암반용 천공공구(DTH 해머·비트, 락드릴 툴, 익스텐션로드 등) 제조, 광산·토목기초공사용 자재",무,"[조사] 홈페이지 airhammer.co.kr(자가서명 인증서 오류로 코머신 경유 확인) + komachine.com/ko/companies/daegun-c-s — 주요제품·연혁 확인. 1992년 설립 국내 유일 종합 ROCK TOOL 제조사, 40여개국 수출. 홈페이지/코머신에 연구소 언급 없음. 비상장 소기업으로 공개 매출 미확인",국민연금 미매칭 ｜ 소재지 경기 평택시(청북읍). 매출 공개자료 없음
정회원,대금지오웰,http://www.daekeum.co.kr,인천 미추홀구,인천광역시 미추홀구 장고개로92번길,일반 저울 제조업,106,297,2024,저울·계량기 등 계측기기 제조(일반 저울 제조업),불명,"국민연금('26.5) ｜ [조사] catch.co.kr/Comp/CompSummary/248339 — 2024.12 기준 매출 297억(캐치 검색결과). 홈페이지 daekeum.co.kr 자가서명 인증서 오류로 미접속, 연구소 여부 확인 불가","인천 미추홀구. 고용 106명, 매출 규모 정합"
정회원,대동이엔지,http://www.dd-eng.com,경북 포항시,경상북도 포항시 북구 흥해읍 동해대로1954번길,건설 및 채광용 기계장비 제조업,6,93.5,2023,"굴착기용 진동 어태치먼트(진동리퍼 MAXBRIO, 바이브로해머/파일드라이버, 진동스크린버킷, 컴팩터)",불명,"국민연금('26.5) ｜ [조사] 홈페이지 dd-eng.com — 주요제품·연혁 확인(파일드라이버 국산화로 시작, 진동장비 R&D 지속). 매출 93.5억(2023.12)은 saramin·jobkorea 기업정보. KOITA 기술개발(연구분야 기계/소재) 등록기업이나 홈페이지에 부설연구소 메뉴 명시 없음","확인요(동명 3법인) ｜ 동명 3법인 확인요. 홈페이지 법인은 경기 파주시 소재로, CSV의 경북 포항(국민연금)과 지역 불일치 — 협회 회원사는 파주 진동어태치먼트 법인으로 추정"
정회원,대신중공업,http://www.taeshin.com,,,,,,,"불명(건설기계 관련 추정, 구체 미확인)",불명,"[조사] 홈페이지 taeshin.com DNS 미해석(접속 불가). 웹/네이버 검색 시 동명 유사기업(태신, 태성중공업, 대한중공업)만 검색되어 본 회원사 특정 불가. CSV상 국민연금 미매칭으로 지역·업종 정보도 없음",국민연금 미매칭 ｜ 국민연금 미매칭·홈페이지 불통으로 식별·매출 확인 불가
정회원,대양롤랜트,http://www.dyrollent.co.kr,경기 시흥시,경기도 시흥시 정왕동,산업용 로봇 제조업,30,102,2023,"산업용 롤러/자동화 롤러, 컨베이어 부품·롤러컨베이어 등 기계요소부품",불명,"국민연금('26.5) ｜ [조사] saramin·jobkorea 기업정보 — 2023년 매출 약 102.2억(10,216,880천원). 주요제품은 회사 소개(dyrollent.com) 검색결과. 홈페이지 dyrollent.co.kr 인증서 불일치·dyrollent.com DNS 미해석으로 연구소 여부 미확인","경기 시흥시(시화공단). 1990년 설립, 직원 40명"
정회원,대영정밀,,경기 안산시,경기도 안산시 단원구 살막길,그 외 자동차용 신품 부품 제조업,21,,,자동차용 신품 부품 제조(국민연금 업종 기준),불명,국민연금('26.5) ｜ [조사] 홈페이지 없음(CSV 홈페이지 공란). 웹/검색에서 안산 단원구 살막길 소재 '대영정밀' 특정 불가. 동명 7법인으로 매출 확신 매칭 불가하여 미기재,"확인요(동명 7법인) ｜ 동명 7법인 확인요. 지역(경기 안산 단원구)·업종(자동차부품)만 확인, 매출·연구소 미확인"
